NTA,Date,NTA_count,Jobs,Savings,SumJobs,MeanSavings
park-cemetery-etc-Brooklyn,04/19/2019,15.0,,6762.69,0.0,36740.328
College Point,01/03/2011,7.0,,13405.67,2.0,574250.8085714286
Mott Haven-Port Morris,02/10/2009,14.0,,16259.18,10.0,159905.58428571429
Sunset Park West,11/08/2019,48.0,,1740.24,0.0,139256.485
Carroll Gardens-Columbia Street-Red Hook,01/10/2011,11.0,,56248.62,0.0,184683.94545454546
Hunters Point-Sunnyside-West Maspeth,02/06/2018,75.0,,8533.44,0.0,160609.31960000002
Hunters Point-Sunnyside-West Maspeth,09/04/2009,75.0,,154751.06,0.0,160609.31960000002
park-cemetery-etc-Brooklyn,04/19/2019,15.0,,2501.52,0.0,36740.328
Maspeth,02/16/2012,9.0,,19652.38,10.0,20783.175555555554
Queensbridge-Ravenswood-Long Island City,03/06/2019,16.0,,6467.21,0.0,447198.665
Greenpoint,05/02/2019,14.0,,8099.4,0.0,177222.05857142858
park-cemetery-etc-Brooklyn,02/20/2019,15.0,,18667.55,0.0,36740.328
Carroll Gardens-Columbia Street-Red Hook,12/17/2014,11.0,,14360.14,0.0,184683.94545454546
Crown Heights North,12/21/2017,9.0,,1105.98,0.0,17168.966666666667
Mott Haven-Port Morris,04/10/2007,14.0,2.0,21780.28,10.0,159905.58428571429
park-cemetery-etc-Brooklyn,04/19/2019,15.0,,31813.35,0.0,36740.328
College Point,09/30/2016,7.0,,196830.67,2.0,574250.8085714286
Queensbridge-Ravenswood-Long Island City,08/10/2009,16.0,,89245.22,0.0,447198.665
Hunters Point-Sunnyside-West Maspeth,05/07/2015,75.0,,15055.23,0.0,160609.31960000002
Hunters Point-Sunnyside-West Maspeth,04/06/2018,75.0,,24733.0,0.0,160609.31960000002
College Point,06/30/2017,7.0,,7208.84,2.0,574250.8085714286
East Williamsburg,06/03/2013,11.0,,100590.44,0.0,143369.4790909091
Sunset Park West,07/03/2013,48.0,,16892.26,0.0,139256.485
Mott Haven-Port Morris,10/12/2010,14.0,,13937.04,10.0,159905.58428571429
Hunters Point-Sunnyside-West Maspeth,10/07/2016,75.0,,185348.05,0.0,160609.31960000002
Hunters Point-Sunnyside-West Maspeth,05/06/2008,75.0,,1335829.73,0.0,160609.31960000002
Greenpoint,12/03/2007,14.0,,1437.94,0.0,177222.05857142858
SoHo-TriBeCa-Civic Center-Little Italy,08/02/2018,5.0,,104844.84,0.0,990867.5859999999
Hunters Point-Sunnyside-West Maspeth,01/06/2011,75.0,,69259.46,0.0,160609.31960000002
East Williamsburg,07/05/2017,11.0,,16687.25,0.0,143369.4790909091
Hunters Point-Sunnyside-West Maspeth,12/06/2018,75.0,,8334.93,0.0,160609.31960000002
Mott Haven-Port Morris,01/12/2012,14.0,,111828.42,10.0,159905.58428571429
